,Anzahl_betr_WKA,Leistung_MW
0,500,67732.37853107348
1,1000,45452.71751412432
2,1500,23173.05649717516
3,2000,893.3954802259977
4,2500,-21386.26553672318
5,3000,-43665.926553672325
6,3500,-65945.58757062149
7,4000,-88225.24858757065
8,4500,-110504.90960451981
9,5000,-132784.570621469
10,5500,-155064.23163841816
11,6000,-177343.8926553673
12,6500,-199623.55367231646
13,7000,-221903.21468926562
14,7500,-244182.87570621478
15,8000,-266462.5367231639
16,8500,-288742.19774011313
17,9000,-311021.85875706223
18,9500,-333301.51977401145
19,10000,-355581.1807909607
